Município ID,Município,Ano,Índice de Envelhecimento
4306007,Crissiumal - RS,2022,174.87
4306056,Cristal - RS,2010,64.46
4306056,Cristal - RS,2022,108.41
4306072,Cristal do Sul - RS,2010,76.74
4306072,Cristal do Sul - RS,2022,129.21
4306106,Cruz Alta - RS,2010,65.89
4306106,Cruz Alta - RS,2022,106.59
4306130,Cruzaltense - RS,2010,107.08
4306130,Cruzaltense - RS,2022,212.83
4306205,Cruzeiro do Sul - RS,2010,84.27
4306205,Cruzeiro do Sul - RS,2022,156.37
4306304,David Canabarro - RS,2010,81.21
4306304,David Canabarro - RS,2022,171.98
4306320,Derrubadas - RS,2010,70.07
4306320,Derrubadas - RS,2022,143.94
4306353,Dezesseis de Novembro - RS,2010,95.80
4306353,Dezesseis de Novembro - RS,2022,219.54
4306379,Dilermando de Aguiar - RS,2010,93.43
4306379,Dilermando de Aguiar - RS,2022,176.21
4306403,Dois Irmãos - RS,2010,44.84
4306403,Dois Irmãos - RS,2022,98.73
4306429,Dois Irmãos das Missões - RS,2010,61.58
4306429,Dois Irmãos das Missões - RS,2022,111.57
4306452,Dois Lajeados - RS,2010,140.46
4306452,Dois Lajeados - RS,2022,196.89
4306502,Dom Feliciano - RS,2010,55.33
4306502,Dom Feliciano - RS,2022,112.32
4306551,Dom Pedro de Alcântara - RS,2010,117.94
4306551,Dom Pedro de Alcântara - RS,2022,160.55
4306601,Dom Pedrito - RS,2010,72.14
4306601,Dom Pedrito - RS,2022,124.68
4306700,Dona Francisca - RS,2010,91.94
4306700,Dona Francisca - RS,2022,157.35
4306734,Doutor Maurício Cardoso - RS,2010,127.28
4306734,Doutor Maurício Cardoso - RS,2022,216.93
4306759,Doutor Ricardo - RS,2010,130.24
4306759,Doutor Ricardo - RS,2022,241.42
4306767,Eldorado do Sul - RS,2010,37.43
4306767,Eldorado do Sul - RS,2022,73.30
4306809,Encantado - RS,2010,89.68
4306809,Encantado - RS,2022,133.53
4306908,Encruzilhada do Sul - RS,2010,70.67
4306908,Encruzilhada do Sul - RS,2022,126.18
4306924,Engenho Velho - RS,2010,54.68
4306924,Engenho Velho - RS,2022,98.96
4306932,Entre-Ijuís - RS,2010,87.09
4306932,Entre-Ijuís - RS,2022,148.28
4306957,Entre Rios do Sul - RS,2010,91.36
4306957,Entre Rios do Sul - RS,2022,170.56
4306973,Erebango - RS,2010,67.47
4306973,Erebango - RS,2022,97.55
4307005,Erechim - RS,2010,65.50
4307005,Erechim - RS,2022,108.94
4307054,Ernestina - RS,2010,79.11
4307054,Ernestina - RS,2022,156.50
4307104,Herval - RS,2010,76.13
4307104,Herval - RS,2022,133.79
4307203,Erval Grande - RS,2010,83.85
4307203,Erval Grande - RS,2022,157.21
4307302,Erval Seco - RS,2010,66.21
4307302,Erval Seco - RS,2022,131.63
4307401,Esmeralda - RS,2010,80.15
4307401,Esmeralda - RS,2022,128.94
4307450,Esperança do Sul - RS,2010,119.50
4307450,Esperança do Sul - RS,2022,172.81
4307500,Espumoso - RS,2010,77.81
4307500,Espumoso - RS,2022,133.33
4307559,Estação - RS,2010,84.92
4307559,Estação - RS,2022,159.57
4307609,Estância Velha - RS,2010,43.15
4307609,Estância Velha - RS,2022,85.74
4307708,Esteio - RS,2010,57.98
4307708,Esteio - RS,2022,112.91
4307807,Estrela - RS,2010,72.07
4307807,Estrela - RS,2022,115.14
4307815,Estrela Velha - RS,2010,60.31
4307815,Estrela Velha - RS,2022,124.07
4307831,Eugênio de Castro - RS,2010,102.25
4307831,Eugênio de Castro - RS,2022,190.63
4307864,Fagundes Varela - RS,2010,126.39
4307864,Fagundes Varela - RS,2022,214.37
4307906,Farroupilha - RS,2010,55.84
4307906,Farroupilha - RS,2022,106.57
4308003,Faxinal do Soturno - RS,2010,93.37
4308003,Faxinal do Soturno - RS,2022,169.31
4308052,Faxinalzinho - RS,2010,80.53
4308052,Faxinalzinho - RS,2022,155.42
